Datetime (UTC),h1,h2,h3,h4,h5
2018-08-23 00:00:00+00:00,1.4553,0.8685,0.2131,1.3281,0.6848
2018-08-23 00:10:00+00:00,1.2215,0.7258,0.2073999999999999,1.0968,0.5842
2018-08-23 00:20:00+00:00,0.7083,0.4063,0.1484,0.6183,0.3586
2018-08-23 00:30:00+00:00,0.21,0.1199,0.0822,0.2169,0.1486
2018-08-23 00:40:00+00:00,0.2501,0.0524,0.0092,0.1928,0.0619
2018-08-23 00:50:00+00:00,0.0648,-0.0055,-0.0241,0.0452,-0.0016
2018-08-23 01:00:00+00:00,-0.0128,-0.0378,-0.0158,-0.0072,-0.015
2018-08-23 01:10:00+00:00,-0.0215,-0.0051,-0.0082,-0.0079,-0.014
2018-08-23 01:20:00+00:00,-0.0191,-0.004,-0.008,-0.0084999999999999,-0.014
2018-08-23 01:30:00+00:00,0.001,-0.005,-0.0004,-0.008,-0.014
2018-08-23 01:40:00+00:00,0.001,-0.0047,0.002,-0.008,-0.014
2018-08-23 01:50:00+00:00,0.001,-0.005,0.0019,-0.0081,-0.014
2018-08-23 02:00:00+00:00,0.0014,-0.0059,0.002,-0.0087999999999999,-0.014
2018-08-23 02:10:00+00:00,0.001,-0.0058,0.002,-0.0089,-0.014
2018-08-23 02:20:00+00:00,0.001,-0.0053,0.0028,-0.0098,-0.014
2018-08-23 02:30:00+00:00,0.001,-0.006,0.003,-0.0098,-0.016
2018-08-23 02:40:00+00:00,0.001,-0.0047,0.0034,-0.009,-0.016
2018-08-23 02:50:00+00:00,0.001,-0.0049,0.0006,-0.009,-0.016
2018-08-23 03:00:00+00:00,0.001,-0.0051,0.002,-0.009,-0.016
2018-08-23 03:10:00+00:00,0.001,-0.0045,0.0019,-0.0094,-0.016
2018-08-23 03:20:00+00:00,0.001,-0.0053,-0.0014,-0.0103,-0.016
2018-08-23 03:30:00+00:00,0.001,-0.0047,0.0027,-0.011,-0.014
2018-08-23 03:40:00+00:00,0.001,-0.0048,0.0028,-0.0108,-0.0139
2018-08-23 03:50:00+00:00,0.001,-0.0053,0.002,-0.0099,-0.0139
2018-08-23 04:00:00+00:00,0.001,-0.005,0.0004,-0.0095,-0.0135
2018-08-23 04:10:00+00:00,0.001,-0.0043,-0.0017,-0.01,-0.011
2018-08-23 04:20:00+00:00,0.001,-0.0059,-0.001,-0.0107,-0.011
2018-08-23 04:30:00+00:00,0.0017,-0.0045,-0.001,-0.011,-0.0116999999999999
2018-08-23 04:40:00+00:00,0.0002,-0.0045,-0.0003,-0.0109,-0.014
2018-08-23 04:50:00+00:00,0.0025,-0.0055,-0.0028,-0.01,-0.014
2018-08-23 05:00:00+00:00,0.0021999999999999,-0.0054,-0.006,-0.01,-0.014
2018-08-23 05:10:00+00:00,0.005,-0.0052,-0.0068,-0.01,-0.014
2018-08-23 05:20:00+00:00,0.0032,-0.006,-0.002,-0.0103,-0.0115
2018-08-23 05:30:00+00:00,-0.0015,-0.0054,-0.0025,-0.011,-0.011
2018-08-23 05:40:00+00:00,-0.0018,-0.0052,-0.001,-0.011,-0.0116999999999999
2018-08-23 05:50:00+00:00,0.0006,-0.006,-0.0003,-0.0101,-0.013
2018-08-23 06:00:00+00:00,0.0010999999999999,-0.005,0.0,-0.01,-0.0126
2018-08-23 06:10:00+00:00,0.001,-0.0052,0.0,-0.01,-0.011
2018-08-23 06:20:00+00:00,-0.002,-0.0057,-0.0008,-0.0103,-0.011
2018-08-23 06:30:00+00:00,-0.0029,-0.0060999999999999,-0.001,-0.011,-0.0134
2018-08-23 06:40:00+00:00,-0.0006,-0.0055,-0.001,-0.011,-0.0139
2018-08-23 06:50:00+00:00,0.0002,-0.0056,-0.0026,-0.0108,-0.0138
2018-08-23 07:00:00+00:00,-0.0017,-0.0054,-0.0004,-0.0102,-0.011
2018-08-23 07:10:00+00:00,-0.003,-0.0060999999999999,0.0,-0.011,-0.011
2018-08-23 07:20:00+00:00,-0.0017,-0.0058,0.0,-0.011,-0.011
2018-08-23 07:30:00+00:00,0.001,-0.0055,-0.0008,-0.0110999999999999,-0.011
2018-08-23 07:40:00+00:00,-0.0018,-0.0063,-0.0017,-0.0116999999999999,-0.0124
2018-08-23 07:50:00+00:00,-0.003,-0.0054,-0.007,-0.0107,-0.0137
