home,day,start,end,minutes
h1,2018-08-23,2018-08-23 16:00:00+00:00,2018-08-23 16:10:00+00:00,10
h1,2018-08-23,2018-08-23 16:30:00+00:00,2018-08-23 16:40:00+00:00,10
h1,2018-08-23,2018-08-23 17:10:00+00:00,2018-08-23 17:30:00+00:00,20
h1,2018-08-23,2018-08-23 18:00:00+00:00,2018-08-23 18:20:00+00:00,20
h1,2018-08-23,2018-08-23 19:20:00+00:00,2018-08-23 20:00:00+00:00,40
h1,2018-08-23,2018-08-23 20:30:00+00:00,2018-08-23 21:10:00+00:00,40
h1,2018-08-23,2018-08-23 21:40:00+00:00,2018-08-23 22:30:00+00:00,50
h1,2018-08-24,2018-08-24 16:40:00+00:00,2018-08-24 16:50:00+00:00,10
h1,2018-08-24,2018-08-24 17:20:00+00:00,2018-08-24 17:30:00+00:00,10
h1,2018-08-24,2018-08-24 18:10:00+00:00,2018-08-24 18:30:00+00:00,20
h1,2018-08-24,2018-08-24 18:50:00+00:00,2018-08-24 19:00:00+00:00,10
h1,2018-08-24,2018-08-24 20:30:00+00:00,2018-08-24 21:20:00+00:00,50
h1,2018-08-24,2018-08-24 21:40:00+00:00,2018-08-24 22:00:00+00:00,20
h1,2018-08-25,2018-08-25 17:10:00+00:00,2018-08-25 17:20:00+00:00,10
h1,2018-08-25,2018-08-25 21:00:00+00:00,2018-08-25 21:40:00+00:00,40
h1,2018-08-25,2018-08-25 21:50:00+00:00,2018-08-25 22:10:00+00:00,20
h2,2018-08-23,2018-08-23 13:30:00+00:00,2018-08-23 13:40:00+00:00,10
h2,2018-08-23,2018-08-23 13:50:00+00:00,2018-08-23 14:00:00+00:00,10
h2,2018-08-23,2018-08-23 14:20:00+00:00,2018-08-23 14:30:00+00:00,10
h2,2018-08-23,2018-08-23 14:40:00+00:00,2018-08-23 14:50:00+00:00,10
h2,2018-08-23,2018-08-23 15:00:00+00:00,2018-08-23 15:10:00+00:00,10
h2,2018-08-23,2018-08-23 15:20:00+00:00,2018-08-23 15:30:00+00:00,10
h2,2018-08-23,2018-08-23 15:40:00+00:00,2018-08-23 15:50:00+00:00,10
h2,2018-08-23,2018-08-23 16:30:00+00:00,2018-08-23 16:40:00+00:00,10
h2,2018-08-23,2018-08-23 16:50:00+00:00,2018-08-23 17:00:00+00:00,10
h2,2018-08-23,2018-08-23 17:20:00+00:00,2018-08-23 17:30:00+00:00,10
h2,2018-08-23,2018-08-23 17:50:00+00:00,2018-08-23 18:00:00+00:00,10
h2,2018-08-23,2018-08-23 18:20:00+00:00,2018-08-23 18:30:00+00:00,10
h2,2018-08-23,2018-08-23 18:50:00+00:00,2018-08-23 19:00:00+00:00,10
h2,2018-08-23,2018-08-23 19:10:00+00:00,2018-08-23 19:30:00+00:00,20
h2,2018-08-23,2018-08-23 19:50:00+00:00,2018-08-23 20:00:00+00:00,10
h2,2018-08-23,2018-08-23 20:30:00+00:00,2018-08-23 20:40:00+00:00,10
h2,2018-08-23,2018-08-23 21:10:00+00:00,2018-08-23 21:30:00+00:00,20
h2,2018-08-23,2018-08-23 22:20:00+00:00,2018-08-23 22:30:00+00:00,10
