time,buyer,seller,quantity_kWh
2018-08-23 13:00:00+00:00,h1,h4,0.00625
2018-08-23 13:10:00+00:00,h1,h4,0.00795
2018-08-23 13:20:00+00:00,h2,h4,0.0273666666666666
2018-08-23 13:30:00+00:00,h3,h4,0.0452999999999999
2018-08-23 13:30:00+00:00,h3,h2,0.0205666666666666
2018-08-23 13:40:00+00:00,h1,h4,0.0715499999999999
2018-08-23 13:40:00+00:00,h1,h5,0.0076499999999999
2018-08-23 13:50:00+00:00,h1,h4,0.0992499999999999
2018-08-23 13:50:00+00:00,h1,h5,0.0153666666666666
2018-08-23 13:50:00+00:00,h1,h2,0.0070666666666666
2018-08-23 14:00:00+00:00,h1,h4,0.1167666666666666
2018-08-23 14:00:00+00:00,h1,h5,0.03075
2018-08-23 14:10:00+00:00,h1,h4,0.1163333333333333
2018-08-23 14:10:00+00:00,h1,h5,0.0687166666666666
2018-08-23 14:20:00+00:00,h3,h4,0.1308833333333333
2018-08-23 14:20:00+00:00,h3,h5,0.0595833333333333
2018-08-23 14:20:00+00:00,h1,h5,0.0531
2018-08-23 14:20:00+00:00,h1,h2,0.0401333333333333
2018-08-23 14:30:00+00:00,h2,h5,0.1604666666666666
2018-08-23 14:30:00+00:00,h2,h4,0.0538666666666666
2018-08-23 14:30:00+00:00,h1,h4,0.08285
2018-08-23 14:40:00+00:00,h1,h5,0.1691333333333332
2018-08-23 14:40:00+00:00,h1,h4,0.1658166666666666
2018-08-23 14:40:00+00:00,h1,h2,0.0633666666666666
2018-08-23 14:50:00+00:00,h1,h4,0.2069166666666666
2018-08-23 14:50:00+00:00,h1,h5,0.1917999999999999
2018-08-23 15:00:00+00:00,h1,h4,0.2189833333333333
2018-08-23 15:00:00+00:00,h3,h4,0.0109
2018-08-23 15:00:00+00:00,h3,h5,0.0359333333333333
2018-08-23 15:10:00+00:00,h1,h4,0.2411833333333333
2018-08-23 15:10:00+00:00,h1,h5,0.2054666666666667
2018-08-23 15:20:00+00:00,h3,h5,0.2878333333333333
2018-08-23 15:20:00+00:00,h3,h4,0.0470333333333333
2018-08-23 15:20:00+00:00,h1,h4,0.2145666666666666
2018-08-23 15:20:00+00:00,h1,h2,0.0760166666666667
2018-08-23 15:30:00+00:00,h2,h4,0.2944333333333333
2018-08-23 15:30:00+00:00,h2,h5,0.2609833333333334
2018-08-23 15:30:00+00:00,h3,h5,0.0299499999999999
2018-08-23 15:40:00+00:00,h1,h4,0.3276666666666666
2018-08-23 15:40:00+00:00,h1,h5,0.2445833333333333
2018-08-23 15:40:00+00:00,h3,h5,0.0714666666666666
2018-08-23 15:40:00+00:00,h3,h2,0.1123499999999999
2018-08-23 15:50:00+00:00,h1,h4,0.3775833333333332
2018-08-23 15:50:00+00:00,h1,h5,0.0881666666666666
2018-08-23 15:50:00+00:00,h3,h5,0.2651999999999999
2018-08-23 16:00:00+00:00,h3,h4,0.1868
2018-08-23 16:00:00+00:00,h2,h4,0.1591666666666666
2018-08-23 16:10:00+00:00,h1,h4,0.41085
2018-08-23 16:10:00+00:00,h2,h4,0.0275166666666666
2018-08-23 16:10:00+00:00,h2,h5,0.0633166666666666
2018-08-23 16:20:00+00:00,h1,h4,0.4532166666666667
2018-08-23 16:20:00+00:00,h2,h4,0.0051666666666666
2018-08-23 16:20:00+00:00,h2,h5,0.2863500000000001
2018-08-23 16:30:00+00:00,h3,h4,0.0510333333333332
2018-08-23 16:40:00+00:00,h1,h4,0.1970333333333333
2018-08-23 16:40:00+00:00,h2,h4,0.14225
2018-08-23 16:40:00+00:00,h3,h4,0.0715333333333333
2018-08-23 16:50:00+00:00,h1,h4,0.4952166666666666
2018-08-23 16:50:00+00:00,h3,h4,0.0391666666666666
2018-08-23 17:00:00+00:00,h1,h4,0.41495
2018-08-23 17:00:00+00:00,h2,h4,0.1018666666666665
2018-08-23 17:10:00+00:00,h5,h4,0.2665666666666667
2018-08-23 17:10:00+00:00,h2,h4,0.0621166666666667
2018-08-23 17:20:00+00:00,h5,h4,0.1730999999999998
2018-08-23 17:30:00+00:00,h2,h4,0.5821166666666666
2018-08-23 17:30:00+00:00,h1,h4,0.0516499999999999
2018-08-23 17:40:00+00:00,h1,h4,0.3393333333333333
2018-08-23 17:40:00+00:00,h2,h4,0.2132666666666667
2018-08-23 17:40:00+00:00,h5,h4,0.1063333333333333
2018-08-23 17:50:00+00:00,h1,h4,0.3327666666666667
2018-08-23 17:50:00+00:00,h5,h4,0.0960666666666665
2018-08-23 18:00:00+00:00,h2,h4,0.4210166666666667
2018-08-23 18:10:00+00:00,h2,h4,0.0247666666666665
2018-08-23 18:20:00+00:00,h1,h4,0.3072666666666667
2018-08-23 18:20:00+00:00,h5,h4,0.2085333333333334
2018-08-23 18:30:00+00:00,h5,h4,0.5604999999999999
2018-08-23 18:30:00+00:00,h2,h4,0.16835
2018-08-23 18:30:00+00:00,h2,h3,0.1505666666666666
2018-08-23 18:40:00+00:00,h1,h4,0.3348833333333333
2018-08-23 18:40:00+00:00,h2,h4,0.0368833333333333
2018-08-23 18:50:00+00:00,h5,h4,0.3845166666666665
2018-08-23 18:50:00+00:00,h1,h4,0.2978333333333333
